index,xy,r,theta,value
"(-1.61538462, -2.53846154)",[-1.61538462 -2.53846154],3.0088626523308966,-2.137525545338011,(0.11727362023230697-0.42429726241548604j)
"(-1.46153846, -2.53846154)",[-1.46153846 -2.53846154],2.929143502820977,-2.093199757794184,(-0.09956132416280822-0.4343389423286058j)
"(-1.30769231, -2.53846154)",[-1.30769231 -2.53846154],2.855494032158412,-2.0464915461215867,(-0.27587124524836537-0.3560843454044285j)
"(-1.15384615, -2.53846154)",[-1.15384615 -2.53846154],2.7883952244846846,-1.9974238184377544,(-0.38896584621333363-0.23529409691961053j)
"(-1.0, -2.53846154)",[-1.         -2.53846154],2.7283304400418897,-1.9460671494441766,(-0.44397194367790727-0.11215962534932675j)
"(-0.84615385, -2.53846154)",[-0.84615385 -2.53846154],2.675773407433633,-1.8925468823733569,(-0.4601271863549369-0.012145010015596775j)
"(-0.69230769, -2.53846154)",[-0.69230769 -2.53846154],2.631174058798146,-1.837048374945822,(-0.4585217846099475+0.05309157894144892j)
"(-0.53846154, -2.53846154)",[-0.53846154 -2.53846154],2.5949427392754436,-1.7798192700581033,(-0.4547135667156471+0.0801655465897552j)
"(-0.38461538, -2.53846154)",[-0.38461538 -2.53846154],2.5674337344110203,-1.7211677529348857,(-0.4555249052904645+0.068533467022721j)
"(-0.23076923, -2.53846154)",[-0.23076923 -2.53846154],2.548929466967253,-1.6614562136404505,(-0.45798258136825604+0.017868026790169172j)
"(-0.07692308, -2.53846154)",[-0.07692308 -2.53846154],2.539626773818519,-1.6010900879063323,(-0.44924135614523814-0.07063866248366626j)
"(0.07692308, -2.53846154)",[ 0.07692308 -2.53846154],2.539626773818519,-1.540502565683461,(-0.4083025608359818-0.18911824319383208j)
"(0.23076923, -2.53846154)",[ 0.23076923 -2.53846154],2.548929466967253,-1.4801364399493429,(-0.31208221833571725-0.31590376498383316j)
"(0.38461538, -2.53846154)",[ 0.38461538 -2.53846154],2.5674337344110203,-1.4204249006549075,(-0.14809920650838004-0.41134473205796107j)
"(0.53846154, -2.53846154)",[ 0.53846154 -2.53846154],2.5949427392754436,-1.36177338353169,(0.06816755853967311-0.4241639865578799j)
"(0.69230769, -2.53846154)",[ 0.69230769 -2.53846154],2.631174058798146,-1.3045442786439712,(0.2811198640394347-0.31412278724554576j)
"(0.84615385, -2.53846154)",[ 0.84615385 -2.53846154],2.675773407433633,-1.2490457712164362,(0.40408632027759883-0.08624573970999486j)
"(1.0, -2.53846154)",[ 1.         -2.53846154],2.7283304400418897,-1.1955255041456165,(0.3599571355338267+0.18474987711894303j)
"(1.15384615, -2.53846154)",[ 1.15384615 -2.53846154],2.7883952244846846,-1.144168835152039,(0.1407817275309931+0.36991007712049473j)
"(1.30769231, -2.53846154)",[ 1.30769231 -2.53846154],2.855494032158412,-1.0951011074682064,(-0.15518417143169638+0.3543112066164976j)
"(1.46153846, -2.53846154)",[ 1.46153846 -2.53846154],2.929143502820977,-1.0483928957956092,(-0.3558381952650685+0.1268372836788626j)
"(1.61538462, -2.53846154)",[ 1.61538462 -2.53846154],3.0088626523308966,-1.0040671082517825,(-0.32229653894786964-0.17947912122116128j)
"(1.76923077, -2.53846154)",[ 1.76923077 -2.53846154],3.0941823649510325,-0.9621070195478311,(-0.06497637490342933-0.35453180687288083j)
"(1.92307692, -2.53846154)",[ 1.92307692 -2.53846154],3.1846525446735723,-0.9224643387694796,(0.2343442739259519-0.26336287952940574j)
"(2.07692308, -2.53846154)",[ 2.07692308 -2.53846154],3.279847019343411,-0.8850668154595676,(0.3438635748079746+0.030376447000287174j)
"(2.23076923, -2.53846154)",[ 2.23076923 -2.53846154],3.379366560107673,-0.8498250032945045,(0.17129357758154287+0.2917932734657624j)
"(2.38461538, -2.53846154)",[ 2.38461538 -2.53846154],3.4828404357064247,-0.8166379980960092,(-0.1408839596301969+0.30042874864782637j)
"(2.53846154, -2.53846154)",[ 2.53846154 -2.53846154],3.5899267374304933,-0.7853981633974483,(-0.3218962297361902+0.04783413508703351j)
"(2.69230769, -2.53846154)",[ 2.69230769 -2.53846154],3.7003118365473346,-0.7559948759237803,(-0.21029023137829297-0.2399595823369358j)
"(2.84615385, -2.53846154)",[ 2.84615385 -2.53846154],3.813709313506864,-0.7283173806209641,(0.08998453808106001-0.2994532604504297j)
